"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CRUD test","This will create new booking","SUCCESS","2022-01-11T20:49:31.243Z[Europe/London]","0.0","13.31"
"Booking CRUD test","Verify if the Booking was done correctly","SUCCESS","2022-01-11T20:49:44.687Z[Europe/London]","0.0","2.27"
"Booking CRUD test","Update the Booking and verify the updated information","SUCCESS","2022-01-11T20:49:46.961Z[Europe/London]","0.0","1.21"
"Booking CRUD test","Delete the Booking and verify if the Booking is deleted!","SUCCESS","2022-01-11T20:49:48.172Z[Europe/London]","0.0","1.07"
